Branch Customer Nbr,Cust_Name,Vendor Nbr,Vendor Name,Sku,Invoice Number,Product Description 1,Product Description 2,Date,Sales Associate Name,Sales Manager Code,Ossalesman,Ordered Quantity,Net Sales,Fiscal Quarter,Quarter Week,Fiscal Year,State Code,Fiscal Month Name,Region,New Region,Named Owner,Training CAS,Pro CAS,CAE,Category,Top SE,TEP,BU
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYJL11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,1980,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYJM11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,1980,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYJJ11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,1950,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYK111,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYK711,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKC11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKD11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKG11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKJ11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKP11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYKZ11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYL311,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYL611,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,205,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYJV11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,102.5,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYL711,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,102.5,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYLF11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,102.5,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYLJ11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,102.5,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41357562,STANLEY CONVERGENT SECURITY SOL INC,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,41LWYLK11,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,DAVID VOGEL                        ,J6,KSMA,1,102.5,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IMDS,#N/A,Tom Jones,Physical Security
41486097,DATA STRATEGY LLC                  ,016Y,IM ITAD SERVICES                   ,9U7528,419474811,ITAD LOGISTICS                 ,                                   ,7/19/2020,STEVE KAZMIERCZAK   TB             ,TB,3243,1,556,3,3,2020,MI,July     ,Great Lakes,Great Lakes,Michael Beach,Genco,Gorman,Beach,ITAD,#N/A,#N/A,Cisco
41486097,DATA STRATEGY LLC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,419297211,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,STEVE KAZMIERCZAK   TB             ,TB,3243,1,345,3,3,2020,MI,July     ,Great Lakes,Great Lakes,Michael Beach,Genco,Gorman,Beach,IMDS,#N/A,#N/A,Cisco
41486097,DATA STRATEGY LLC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,419297311,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,STEVE KAZMIERCZAK   TB             ,TB,3243,1,345,3,3,2020,MI,July     ,Great Lakes,Great Lakes,Michael Beach,Genco,Gorman,Beach,IMDS,#N/A,#N/A,Cisco
41486097,DATA STRATEGY LLC                  ,016Y,IM ITAD SERVICES                   ,3N1615,419474811,UPS DISPOSAL                   ,                                   ,7/19/2020,STEVE KAZMIERCZAK   TB             ,TB,3243,3,30,3,3,2020,MI,July     ,Great Lakes,Great Lakes,Michael Beach,Genco,Gorman,Beach,ITAD,#N/A,#N/A,Cisco
41537192,HUNT TECHNOLOGY MANAGEMENT LLC     ,9458,IM LINK US                         ,ZH1618,419226211,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,TAMMY BROOKS                       ,AS,7315,1,150,3,3,2020,IL,July     ,Midwest,Great Lakes,#N/A,Genco,Gorman,Beach,IML,#N/A,#N/A,SMB
41610751,SPACEBOUND INC                     ,9458,IM LINK US                         ,ZH1618,41LWY6C11,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,MICHAEL JAKUBOWSKI                 ,Y2,4137,1,150,3,3,2020,OH,July     ,Great Lakes,Great Lakes,Michael Beach,Genco,Gorman,Beach,IML,#N/A,Tom Jones,Mid Tier VAR East
41612002,FORESITE MSP  LLC                  ,9458,IM LINK US                         ,ZH1618,419062411,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,CORE BASE                          ,AM,MNLE,1,300,3,3,2020,CT,July     ,Northeast,Northeast,#N/A,Klimek,Gorman,Trapp,IML,#N/A,#N/A,SMB
41671252,DIVERSENET CONSULTING GROUP INC    ,9458,IM LINK US                         ,ZH1618,419062711,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,JOSEPH LOSCHIAVO                   ,AS,9009,1,300,3,3,2020,IN,July     ,Great Lakes,Great Lakes,#N/A,Genco,Gorman,Beach,IML,#N/A,#N/A,SMB
41717941,INFO TECHNOLOGY PROFESSIONALS LLC  ,9458,IM LINK US                         ,ZH1618,419230411,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,THOMAS CREAN                       ,AS,7315,1,150,3,3,2020,WI,July     ,Midwest,Great Lakes,Michael Beach,Genco,Gorman,Beach,IML,#N/A,#N/A,SMB
41745921,SMARTSOURCE INC                    ,9458,IM LINK US                         ,ZH1618,419063111,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,PETER HOUSEMAN      AS             ,AS,9009,1,300,3,3,2020,IL,July     ,Midwest,Great Lakes,#N/A,Genco,Gorman,Beach,IML,#N/A,#N/A,SMB
41775191,IMAG IT SOLUTIONS INC              ,9458,IM LINK US                         ,ZH1618,419234711,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,MARCUS CAMPBELL                    ,Y2,MAHL,1,150,3,3,2020,IL,July     ,Midwest,Great Lakes,#N/A,Genco,Gorman,Beach,IML,#N/A,#N/A,Mid Tier VAR East
41802091,OPEN SYSTEMS TECHNOLOGIES DE LLC   ,9458,IM LINK US                         ,ZH1618,419235211,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,JOHN LORUSSO        Y2,Y2,7456,1,150,3,3,2020,MI,July     ,Great Lakes,Great Lakes,Renee Iovieno,Genco,Gorman,Beach,IML,#N/A,Tommy Mac,Mid Tier VAR East
41942681,AUREON IT INC                      ,9458,IM LINK US                         ,RD1462,419096511,IM LINK SUPPORT REQUEST        ,MINIMUM 2 HOURS SERVICE,7/19/2020,RON HAKES           CA             ,CA,3604,1,2565,3,3,2020,IA,July     ,Midwest,North Central,Marijeanne Bugenhagen,Genco,Bugenhagen,McKinley,IML,0,#N/A,ACD
41977751,GLW SPECIALTY                      ,9458,IM LINK US                         ,ZH1618,419063511,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,JEFFREY DILUCENTE                  ,Y2,9009,1,300,3,3,2020,IL,July     ,Midwest,Great Lakes,Renee Iovieno,Genco,Gorman,Beach,IML,0,#N/A,Mid Tier VAR East
50541812,CLUSTER NETWORKS INC               ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,506456011,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,MIKE BENNETT HUGHES                ,AS,9009,1,200,3,3,2020,CA,July     ,West,West,Jay Loeffler,Lipovsky,Bachulak,Barish,IMDS,0,#N/A,SMB
60285056,CHIPS TECHNOLOGY GROUP INC.        ,9458,IM LINK US                         ,RD1459,605583611,IM LINK PLAN REQUEST           ,MINIMUM 2 HOURS SERVICE,7/19/2020,ROBERT OSBORNE      Y2,Y2,7458,1,1532.22,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,IML,#N/A,#N/A,Mid Tier VAR East
60375761,MAINSTREAM TECHNOLOGY GROUP        ,9458,IM LINK US                         ,ZH1618,605380111,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,KAREN SULLIVAN                     ,AS,7315,1,150,3,3,2020,NH,July     ,Northeast,Northeast,#N/A,Klimek,Gorman,Trapp,IML,#N/A,#N/A,SMB
60496872,SYSTEMIZE NETWORKS LLC             ,9458,IM LINK US                         ,ZH1618,605384511,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,NICHOLAS MOSES                     ,AS,7315,1,150,3,3,2020,MA,July     ,Northeast,Northeast,#N/A,Klimek,Gorman,Trapp,IML,#N/A,#N/A,SMB
60752871,MTM TECHNOLOGIES(MASSACHUSETTS) INC,9458,IM LINK US                         ,ZH1618,605139711,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,TEAM 640            J2,J2,4140,1,300,3,3,2020,CT,July     ,Northeast,Northeast,Gregory Trapp,Klimek,Gorman,Trapp,IML,0,Nick Vermiglio,Major Accounts
60803660,ION COMPUTER SYSTEMS INC           ,9458,IM LINK US                         ,RD1460,60QZKGV11,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,7/19/2020,CURT BENSCH         TB             ,TB,V643,1,477.78,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,IML,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1608,605888211,PC/MAC DISPOSAL                ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,1,-2,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1612,605888211,PRINTER/FAX/SCANNER DISPOSAL   ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,1,-2,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1620,605888211,OTHER                          ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,6,-12,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1610,605888211,LCD MONITOR DISPOSAL           ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,24,-48,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1613,605888211,NETWORK DISPOSAL               ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,24,-48,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
60950711,TEKSCAPE INC                       ,016Y,IM ITAD SERVICES                   ,3N1609,605888211,LAPTOP DISPOSAL                ,                                   ,7/19/2020,ASHLEY BOROWIAK     TB             ,TB,2218,26,-52,3,3,2020,NY,July     ,Great Lakes,Northeast,#N/A,Klimek,Gorman,Trapp,ITAD,#N/A,#N/A,Cisco
70049096,LEAPFROG SERVICES INC              ,9458,IM LINK US                         ,RD1459,706798911,IM LINK PLAN REQUEST           ,MINIMUM 2 HOURS SERVICE,7/19/2020,DAVID JOHNSON                      ,S7,V722,1,237.5,3,3,2020,GA,July     ,Southeast,Southeast,#N/A,Klimek,Bugenhagen,Gould,IML,#N/A,#N/A,UCC
70129542,IT XCHANGE FINANCIAL SERVICES (2013,9458,IM LINK US                         ,ZH1618,706629911,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,LYNN THOMAS                        ,AS,9009,1,300,3,3,2020,NC,July     ,Southeast,Southeast,#N/A,Klimek,Bugenhagen,Gould,IML,#N/A,#N/A,SMB
70385772,ADAPTURE TECHNOLOGY GROUP LLC      ,9458,IM LINK US                         ,ZH1618,706730911,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,DAVID MUCICA        TN             ,TN,MAJK,1,150,3,3,2020,GA,July     ,Southeast,Southeast,Patrick Gould,Klimek,Bugenhagen,Gould,IML,#N/A,Mickey Woods,Networking Security
70447581,ICV SOLUTIONS INC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,706756111,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,CHRISTOPHER MEINDL                 ,TB,3243,1,4000.27,3,3,2020,TN,July     ,Southeast,Southeast,Brad Banas,Klimek,Bugenhagen,Gould,IMDS,#N/A,#N/A,Cisco
70447581,ICV SOLUTIONS INC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,706756211,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,CHRISTOPHER MEINDL                 ,TB,3243,1,2490,3,3,2020,TN,July     ,Southeast,Southeast,Brad Banas,Klimek,Bugenhagen,Gould,IMDS,#N/A,#N/A,Cisco
70447581,ICV SOLUTIONS INC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,706756311,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,CHRISTOPHER MEINDL                 ,TB,3243,1,180,3,3,2020,TN,July     ,Southeast,Southeast,Brad Banas,Klimek,Bugenhagen,Gould,IMDS,#N/A,#N/A,Cisco
70447581,ICV SOLUTIONS INC                  ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,706756411,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,7/19/2020,CHRISTOPHER MEINDL                 ,TB,3243,1,180,3,3,2020,TN,July     ,Southeast,Southeast,Brad Banas,Klimek,Bugenhagen,Gould,IMDS,#N/A,#N/A,Cisco
70506301,GREYSON COMMUNICATIONS INC         ,9458,IM LINK US                         ,ZH1618,706630111,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,WARREN BOUCHANE     TB             ,TB,3243,1,300,3,3,2020,FL,July     ,Southeast,Southeast,#N/A,Klimek,Bugenhagen,Gould,IML,#N/A,#N/A,Cisco
70538172,SAMANA GROUP LLC                   ,9458,IM LINK US                         ,ZH1618,706630211,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,MELISSA DREGER                     ,AS,9009,1,300,3,3,2020,FL,July     ,Southeast,Southeast,#N/A,Klimek,Bugenhagen,Gould,IML,#N/A,#N/A,SMB
70881761,CENTRICSIT LLC                     ,9458,IM LINK US                         ,ZH1618,706630611,LINK SERV PROVIDER MEMBERSHIP  ,                                   ,7/19/2020,DAVID MUCICA        TN             ,TN,MAJK,1,300,3,3,2020,GA,July     ,Southeast,Southeast,#N/A,Klimek,Bugenhagen,Gould,IML,#N/A,#N/A,Networking Security
70953191,CORUS GROUP LLC                    ,1831,VPN DYNAMICS                       ,YZ3602,707028211,INGRAM MICRO TRAINING OTHER    ,                                   ,7/19/2020,DAVID MUCICA        TN             ,TN,MAJK,2,3600,3,3,2020,GA,July     ,Southeast,Southeast,Renee Iovieno,Klimek,Bugenhagen,Gould,IMT,#N/A,#N/A,Networking Security
10377792,GHA TECHNOLOGIES INC               ,9458,IM LINK US                         ,RD1461,103251511,IM LINK MANAGE SUPPORT REQUEST ,MINIMUM 2 HOURS SERVICE,7/18/2020,JESSICA ROGERS                     ,K5,7694,1,1740,3,3,2020,AZ,July     ,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,#N/A,#N/A,Mid Tier VAR West
14230751,FRONTIER TECHNOLOGY LLC            ,848Y,IM PRO SERVICES - FORTINET         ,8X3213,141500511,FORTINET DAILY REMOTE PROJECT  ,BASED                              ,7/18/2020,ANNETTE NIEVES                     ,K5,7694,1,1100,3,3,2020,AZ,July     ,West,West,Jennifer Barish,Lipovsky,Bachulak,Barish,IML,Bernie Franczak,Bernie Franczak,Mid Tier VAR West
14505631,IMPULSE INTERNET SERVICES LLC.     ,9458,IM LINK US                         ,RD1459,146486611,IM LINK PLAN REQUEST           ,MINIMUM 2 HOURS SERVICE,7/18/2020,NATE WRIGHT         S7,S7,7447,1,380,3,3,2020,CA,July     ,West,West,#N/A,Lipovsky,Bachulak,Barish,IML,#N/A,#N/A,UCC
