Date,Segments,Scenario,Branch,Customers_Size,Segment_Split,Customers,Users_Added,Carefull_Budget,Transitioned_Accounts,Beginning_Value,Beneficiaries,Retained_Value,Income_Producing_Assets,Income,Days_Retained,Remaining_Beneficiaries
2020-09-30,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-09-30,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-09-30,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-10-31,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-10-31,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-10-31,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-11-30,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-11-30,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-11-30,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-12-31,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-12-31,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2020-12-31,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-01-31,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-01-31,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-01-31,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-02-28,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-02-28,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-02-28,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-03-31,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-03-31,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-03-31,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-04-30,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-04-30,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-04-30,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-05-31,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-05-31,Segment A,PLAN,Branch_2,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-05-31,Segment A,PLAN,Branch_3,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
2021-06-30,Segment A,PLAN,Branch_1,75000,0.2,15000.0,2,29.9,0.5,60000.0,0.65,57000.0,48450.0,1453.5,270.0,0.29250000000000004
